Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
128	mike467	1556582524.835	    58.841	0	28	0	0	sh run_mapping.sh input/127.in 127
63	mike468	1556582524.257	    79.850	0	28	0	0	sh run_mapping.sh input/62.in 62
37	mike464	1556582524.089	   111.181	0	28	0	0	sh run_mapping.sh input/36.in 36
111	mike468	1556582524.662	   181.503	0	27	0	0	sh run_mapping.sh input/110.in 110
106	mike469	1556582524.614	   192.653	0	28	0	0	sh run_mapping.sh input/105.in 105
74	mike469	1556582524.339	   198.285	0	28	0	0	sh run_mapping.sh input/73.in 73
89	mike363	1556582524.459	   210.683	0	28	0	0	sh run_mapping.sh input/88.in 88
105	mike363	1556582524.605	   212.938	0	28	0	0	sh run_mapping.sh input/104.in 104
32	mike467	1556582524.057	   217.285	0	28	0	0	sh run_mapping.sh input/31.in 31
81	mike363	1556582524.394	   219.293	0	28	0	0	sh run_mapping.sh input/80.in 80
83	mike458	1556582524.410	   225.646	0	27	0	0	sh run_mapping.sh input/82.in 82
107	mike458	1556582524.626	   239.347	0	28	0	0	sh run_mapping.sh input/106.in 106
99	mike458	1556582524.548	   241.079	0	28	0	0	sh run_mapping.sh input/98.in 98
7	mike468	1556582523.913	   244.603	0	28	0	0	sh run_mapping.sh input/6.in 6
6	mike466	1556582523.908	   255.197	0	28	0	0	sh run_mapping.sh input/5.in 5
97	mike363	1556582524.531	   258.875	0	28	0	0	sh run_mapping.sh input/96.in 96
98	mike469	1556582524.539	   260.799	0	28	0	0	sh run_mapping.sh input/97.in 97
53	mike464	1556582524.190	   263.467	0	28	0	0	sh run_mapping.sh input/52.in 52
108	mike465	1556582524.636	   263.695	0	28	0	0	sh run_mapping.sh input/107.in 107
79	mike468	1556582524.377	   279.164	0	28	0	0	sh run_mapping.sh input/78.in 78
9	mike363	1556582523.923	   282.767	0	28	0	0	sh run_mapping.sh input/8.in 8
35	mike458	1556582524.076	   286.381	0	28	0	0	sh run_mapping.sh input/34.in 34
68	mike465	1556582524.292	   296.523	0	28	0	0	sh run_mapping.sh input/67.in 67
96	mike467	1556582524.522	   298.244	0	28	0	0	sh run_mapping.sh input/95.in 95
19	mike458	1556582523.976	   301.954	0	28	0	0	sh run_mapping.sh input/18.in 18
69	mike464	1556582524.299	   307.112	0	28	0	0	sh run_mapping.sh input/68.in 68
66	mike469	1556582524.278	   308.766	0	27	0	0	sh run_mapping.sh input/65.in 65
49	mike363	1556582524.164	   312.144	0	28	0	0	sh run_mapping.sh input/48.in 48
29	mike464	1556582524.038	   313.537	0	28	0	0	sh run_mapping.sh input/28.in 28
